,Signs,Horoscope
11,ARIES," You may have a sense of being in limbo, or cast adrift. Quite why this should be so is not clear, but we can say that you'll have your feet back on firm ground very soon. This is a time to be constructive in outlook and resolute and firm in your approach. "
12,TAURUS," Stress levels are set to ease up. A battle royal has been taking place between a number of other planets, an encounter with profound consequences for your emotional security. It may be that you have already decided that things cannot go on as before. But then, you have known that for a long while. Come to think of it, it's time for an improvement! "
13,GEMINI," If you have been in touch with underlying trends, you will know that this has been a time of unique and reassuring experiences. But you must still be aware that there are serious emotional questions to be dealt with. It's just that it's difficult to get to the real issues. "
14,CANCER, Many of you will be feeling the uncompromising impact of Mars blowing through your life. It must be clear by now that the pattern of your affairs and activities must be changed for the better. And I have a feeling you'll make a start by putting up some extra cash. 
15,LEO," Perhaps you now feel like battening down the hatches and taking shelter from emotional assaults. You may feel unfairly squeezed between people who think you should become more deeply involved and those who wish you to withdraw altogether. Watch out for financial confrontations - they can be avoided, you know. "
16,VIRGO," Seven planets encouraging you to do your own thing and go your own way is not bad support. You are under no pressure to take certain adventurous and even extraordinary steps, but the opportunity is there if you wish to use it. It really is up to you. "
17,LIBRA," It is your own sweet nature which enables you to keep your emotions and temper under control. You must continue to exercise charm, tact and diplomacy even if you fear that you have suffered in a business matter. It's time to forgive and forget. "
18,SCORPIO," Accept the fact that partners have their own beliefs, ideas and feelings. You may have cause to take up the gauntlet and rise to the challenge, yet it may be best to let matters rest and go your own way. Partners are likely to be over-fussy, but that's all down to the current awkward lunar alignments. "
19,SAGITTARIUS," Realise that a joint financial arrangement or business association may have to end if you are to achieve a number of goals or ambitions. On the other hand, you must forge a new relationship without delay. Only then will you know that you have the support to proceed. "
20,CAPRICORN," The next few days lift your heart and raise your hopes. When dealing with affairs of the heart you must take into account the fact that partners are now developing much stronger ideas as to who does what and when. It may be tactful to give way, at least in the short-term. "
21,AQUARIUS," You may still need to spend some time away from home or outside your usual environment if you are to be certain of your next move. On the other hand, domestic responsibilities are likely to deny you the chance to get away. But, first, figure out exactly how much your plans will cost. "
22,ARIES," You know full well that it is within your power to determine the outcome of financial negotiations and discussions. There's something that's still not entirely clear, though. Perhaps the role of a female associate has yet to be established - you don't quite know where you stand. "
23,TAURUS, Current astrological trends offer you a marvellous opportunity to face up to awkward or highly emotional situations. Acknowledge partners' complaints and criticism in the knowledge that you have got what it takes to put them right. You must believe in yourself. 
24,GEMINI," You are now entering a phase in which you may reasonably allow situations to take their own course. However, as far as specifically financial affairs are concerned, you must be careful not to let events run out of your control, especially at this delicate stage. "
25,CANCER," You're still on top of events, but your best bet at the moment is to occupy your time in such a manner that you cannot be forced to accept unsatisfactory conditions. Keep a close watch on financial affairs later in the day, and make sure that nobody pulls the wool over your eyes. "
26,LEO," This is likely to be a crucial period as far as both career and domestic hopes are concerned. Family pressures which have surfaced recently may go back a long way. Now you have the opportunity to tackle these entrenched, long-term issues and deal with partners who have dug their heels in. "
27,VIRGO," The current Pluto alignment indicates that an emotional or family tie is quite clearly giving you some cause for concern just now. However, a solution lies well within your grasp and it is therefore in your interests to be placatory; it's easy when you know how! "
28,LIBRA," In a matter of days a number of pieces of the jigsaw will fit into place. Yet first you may have to endure a certain amount of aggravation from partners who still do not believe you are up to the job. It is true, though, that you may have to smarten up your act. "
29,SCORPIO," Mercury's relationship with your sign suggests that you have probably become accustomed to harsh words and heavy demands, especially when discussing personal questions. All the relevant issues must now be brought to the surface. And sooner rather than later. "
30,SAGITTARIUS," There really seems to be little point in arguing or apportioning blame over a career matter. You must see that there is much good sense in what other people have to say, and you will reject good advice at your peril. It's time to listen, and to bide your time. "
31,CAPRICORN," Partners and close associates have really been remarkably willing to compromise when you think about it. You have only a short time left to reach a firm agreement before you again run into stiff opposition. Oh, and keep an eye on legal irritations. "
32,AQUARIUS," Recent statements have undoubtedly been an eye-opener, and you now have the perfect opportunity to pull a number of different emotional strands together. Close friends will appreciate your new, fresh approach. It makes a change from partners complaining that you are upsetting their plans! "
